homonym,judged_meaning,precontext,sentence,ending,choices,average,stdev,nonsensical,sample_id,example_sentence
potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.","[4, 5, 2, 3, 1]",3.0,1.5811388300841898,"[False, False, False, False, False]",1843,The circuit has a high potential difference.
potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.","[5, 3, 4, 4, 3]",3.8,0.8366600265340756,"[False, False, False, False, False]",1844,The project has great potential for success.
potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,"[2, 1, 4, 3, 1]",2.2,1.3038404810405297,"[False, False, False, False, False]",1845,The circuit has a high potential difference.
potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,"[4, 5, 5, 3, 5]",4.4,0.8944271909999159,"[False, False, False, False, False]",1846,The project has great potential for success.
potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,"[1, 1, 4, 4, 3]",2.6,1.51657508881031,"[False, False, False, False, False]",1847,The circuit has a high potential difference.
potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,"[5, 4, 3, 4, 5]",4.2,0.8366600265340756,"[False, False, False, False, False]",1848,The project has great potential for success.
base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.","[2, 4, 4, 4, 5]",3.8,1.0954451150103321,"[False, False, False, False, False]",1129,The troops strategized at their forward base.
base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.","[3, 3, 5, 5, 5]",4.2,1.0954451150103321,"[False, False, False, False, False]",1130,He slid into third base safely.
base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,"[2, 1, 1, 1, 2]",1.4,0.5477225575051661,"[False, False, False, False, False]",1131,The troops strategized at their forward base.
base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,"[4, 5, 5, 5, 4]",4.6,0.5477225575051661,"[False, False, False, False, False]",1132,He slid into third base safely.
